house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
7007,1,APARTMENT,GROUND_FLOOR,Gent,9000,Jan zonder Vreesstraat,22,,1,2,259000,0,1,9,0,0,GOOD,0,0,0,,60,,
7009,3,APARTMENT,APARTMENT,Knokke-Heist,8300,Kustlaan,198,14,1,2,1795000,0,1,,0,0,AS_NEW,0,0,0,,90,,
7008,4,APARTMENT,TRIPLEX,Molenbeek-Saint-Jean,1080,Place Communale,1,,1,2,295000,0,1,,0,0,GOOD,0,0,0,,142,,
7014,2,APARTMENT,APARTMENT,Aalst,9300,Raffemgemstraat,12,39,1,4,138500,0,1,,0,0,GOOD,0,0,0,,76,,
7015,3,APARTMENT,APARTMENT,Oostende,8400,Torhoutsesteenweg,426,0301,0,2,168000,0,1,1,1,1,,0,0,0,,100,,
7013,6,HOUSE,VILLA,Tervuren,3080,Kwikstaartlaan,40,,0,4,685000,0,0,0,0,0,,0,0,0,789,321,789,
7016,1,APARTMENT,APARTMENT,SCHAERBEEK,1030,,,,1,,220000,0,0,0,0,0,TO_RENOVATE,0,0,0,,72,,
7017,3,HOUSE,HOUSE,HARCHIES,7321,,,,0,4,350000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,1216,267,1216,
7019,3,APARTMENT,APARTMENT,Knokke-Heist,8300,Gulden-Vliesstraat,1a,4.1,0,,739000,1,1,,0,0,AS_NEW,0,0,0,,,,
7020,3,HOUSE,VILLA,Knokke-Heist,8300,Korenbloemdreef,41,,1,3,749000,0,1,,0,0,AS_NEW,0,0,0,247,141,247,
7018,2,APARTMENT,APARTMENT,Antwerpen,2100,Antoon Van Den Bosschelaan,88,2,1,2,189000,0,0,0,0,0,GOOD,0,0,0,,85,,
7021,5,HOUSE,APARTMENT_BLOCK,Tervuren,3080,Peercouriniestraat,5,,0,3,750000,0,0,0,0,0,,0,0,0,385,244,385,
7023,6,HOUSE,HOUSE,Lint,2547,Molenveld,33,,1,2,799000,0,0,0,0,0,GOOD,0,0,0,393,290,393,
7022,4,HOUSE,MANSION,Grimbergen,1850,Wolvertemsesteenweg,99,,1,2,790000,0,1,,1,1,,0,0,0,628,430,628,
7024,3,HOUSE,FARMHOUSE,Soiron,4861,Cour Marechal,20,,1,4,799000,0,1,,0,0,TO_RENOVATE,0,0,0,21000,532,21000,
7025,5,HOUSE,HOUSE,Hoogstraten,2328,Oude Tramweg,7,A,0,4,849000,0,1,,0,0,AS_NEW,0,0,0,1760,411,1760,
7031,4,HOUSE,VILLA,Lasne,1380,,,,1,4,1290000,0,1,1,1,1,AS_NEW,1,1900,0,2100,340,2100,
7030,4,HOUSE,VILLA,Lint,2547,Groenstraat,50,,0,4,1275000,0,0,0,1,1,GOOD,0,0,1,1611,323,1611,
7026,5,HOUSE,HOUSE,Wolvertem (Meise),1861,Stoppelenbos,8,,0,4,850000,0,0,0,0,0,,0,0,1,1020,289,1020,
7027,4,HOUSE,HOUSE,Lo-Reninge,8647,Clamarastraat,11,,0,4,899000,0,1,,0,0,GOOD,1,3513,0,5657,313,5657,
