house_index,url,bedrooms,property_type,property_subtype,locality,postal_code,street,number,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
1332,https://www.immoweb.be/en/classified/house/for-sale/harelbeke/8530/20299932,4,HOUSE,HOUSE,Harelbeke,8530,Vlaanderenlaan,78,0,,329000,0,0,0,0,0,JUST_RENOVATED,0,0,0,301,162,301,
1330,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20294805,1,APARTMENT,APARTMENT,Gent,9000,Baudelostraat,9,1,2,229000,0,0,0,0,0,GOOD,0,0,0,,43,,
1331,https://www.immoweb.be/en/classified/apartment/for-sale/brasschaat/2930/20294817,1,APARTMENT,APARTMENT,BRASSCHAAT,2930,Rerum Novarumlei,4,1,2,329000,0,1,60,0,0,GOOD,0,0,0,,145,,
1333,https://www.immoweb.be/en/classified/penthouse/for-sale/molenbeek-saint-jean/1080/20295301,2,APARTMENT,PENTHOUSE,Molenbeek-saint-jean,1080,Rue du Bon Pasteur,11,1,2,339000,0,1,86,0,0,TO_BE_DONE_UP,0,0,0,,100,,
1335,https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20296305,1,APARTMENT,APARTMENT,KNOKKE,8300,Leopoldlaan,41,1,2,359000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,,59,,
1334,https://www.immoweb.be/en/classified/house/for-sale/jehay/4540/20301961,4,HOUSE,HOUSE,JEHAY,4540,Rue du Petit Rivage,30,1,,349000,0,1,40,0,0,GOOD,1,1774,0,1940,174,1940,
1337,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8301/20298255,4,HOUSE,HOUSE,Knokke-Heist,8301,Schuttersstraat,3,1,3,455000,0,1,25,1,1,GOOD,1,120,0,235,184,235,
1336,https://www.immoweb.be/en/classified/house/for-sale/sint-martens-latem/9831/20300263,3,HOUSE,HOUSE,Sint-Martens-Latem,9831,Klapstraat,121,0,3,375000,0,0,0,0,0,TO_RENOVATE,1,764,0,924,227,924,
1339,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20281940,3,HOUSE,HOUSE,SERAING,4100,Rue Fivé,11,1,2,218000,0,1,32,0,0,GOOD,1,95,0,215,175,215,
1338,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20310562,1,APARTMENT,APARTMENT,Borgerhout,2140,Linnaeusstraat,1,1,2,169000,0,0,0,0,0,GOOD,0,0,0,,55,,
1341,https://www.immoweb.be/en/classified/house/for-sale/edegem/2650/20281781,4,HOUSE,HOUSE,EDEGEM,2650,Ter Tommenstraat,3,1,4,1450000,0,0,0,0,0,JUST_RENOVATED,1,315,0,703,360,703,
1340,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20275985,3,HOUSE,HOUSE,Ronse,9600,Watermolenstraat,10,1,2,229000,0,1,15,0,0,JUST_RENOVATED,0,0,0,80,188,80,
1344,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20310335,3,HOUSE,HOUSE,Seraing,4100,Avenue Libert,6,1,2,218000,0,1,15,0,0,AS_NEW,1,35,0,140,118,140,
1343,https://www.immoweb.be/en/classified/loft/for-sale/molenbeek/1080/20310754,1,APARTMENT,LOFT,Molenbeek,1080,Quai Des Charbonnages - Koolmijnenkaai,8,1,2,192000,0,0,0,0,0,GOOD,0,0,0,,99,,
1345,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20255317,2,APARTMENT,APARTMENT,Anderlecht,1070,Théo Lambertlaan,15,1,2,245000,0,1,3,0,0,AS_NEW,0,0,0,,70,,
1342,https://www.immoweb.be/en/classified/flat-studio/for-sale/zaventem-sint-stevens-woluwe/1932/20279667,0,APARTMENT,FLAT_STUDIO,Zaventem Sint-Stevens-Woluwe,1932,Lenneke Marelaan,34,1,4,145000,0,1,4,0,0,AS_NEW,0,0,0,,41,,
1347,https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20287747,1,APARTMENT,APARTMENT,Merelbeke,9820,Hundelgemsesteenweg,3,0,,275000,0,1,,0,0,JUST_RENOVATED,0,0,0,,62,,
1346,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20209202,2,APARTMENT,APARTMENT,Anderlecht,1070,Rue de la Vérité,45A,1,2,245000,0,1,3,0,0,GOOD,1,100,0,,87,,
1348,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20284176,1,APARTMENT,APARTMENT,Bruxelles,1000,Rue de Dinant,41,1,,277500,0,0,0,0,0,AS_NEW,0,0,0,,60,,
