house_index,bedrooms,property_type,property_subtype,locality,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
75,3,APARTMENT,APARTMENT,Houthalen,INSTALLED,,295000,,,,False,,GOOD,,,,,140,,
76,2,APARTMENT,APARTMENT,Middelkerke,,,320000,True,True,,False,,GOOD,,,,,74,,
78,1,APARTMENT,APARTMENT,Bruxelles,HYPER_EQUIPPED,2,175000,False,,,False,,TO_BE_DONE_UP,,,False,,40,,
77,2,APARTMENT,APARTMENT,Ledeberg,,,399000,False,True,60,False,,GOOD,,,,,142,,
79,3,APARTMENT,APARTMENT,Schaerbeek,HYPER_EQUIPPED,2,399000,False,True,8,False,,AS_NEW,,,False,,100,,
81,6,HOUSE,APARTMENT_BLOCK,Visé,INSTALLED,2,230000,False,True,20,False,,TO_BE_DONE_UP,True,7000,False,7326,234,7326,
80,4,APARTMENT,APARTMENT,KONTICH,INSTALLED,,695000,,True,27,False,,GOOD,,,,,240,,
82,8,HOUSE,APARTMENT_BLOCK,Liège,SEMI_EQUIPPED,2,315000,False,True,21,False,,GOOD,True,135,False,372,236,372,
83,3,HOUSE,HOUSE,MECHELEN,INSTALLED,2,319500,,True,20,False,,TO_RENOVATE,True,150,,260,145,260,
84,3,HOUSE,HOUSE,Wezembeek-Oppem,INSTALLED,4,598000,False,True,,False,,TO_RENOVATE,True,200,False,571,155,571,
85,3,HOUSE,HOUSE,Knokke-Zoute,HYPER_EQUIPPED,3,1395000,False,True,,False,,GOOD,,,,465,164,465,
87,1,APARTMENT,APARTMENT,Kortrijk,INSTALLED,2,199000,,True,,False,,GOOD,,,,,72,,
86,3,HOUSE,HOUSE,Anzegem,INSTALLED,3,420000,False,,,False,,GOOD,True,270,,497,175,497,
88,3,APARTMENT,APARTMENT,GERAARDSBERGEN,INSTALLED,2,199000,,,,False,,GOOD,,,,,75,,
89,3,HOUSE,MIXED_USE_BUILDING,Lessines,HYPER_EQUIPPED,2,220000,False,True,,False,,TO_BE_DONE_UP,True,515,False,955,210,955,
90,,,,,,,,,,,,,,,,,,,,
92,3,APARTMENT,PENTHOUSE,WILLEBROEK,INSTALLED,2,299000,,True,7,False,,GOOD,,,,,125,,
91,2,APARTMENT,APARTMENT,BERCHEM,INSTALLED,,389000,,True,19,False,,GOOD,,,,,125,,
94,3,APARTMENT,APARTMENT,WILRIJK,INSTALLED,2,395000,,True,12,False,,JUST_RENOVATED,,,,,129,,
95,4,HOUSE,HOUSE,Ledegem,SEMI_EQUIPPED,2,199000,,True,16,False,,TO_RENOVATE,,,,272,350,272,
97,3,HOUSE,HOUSE,Oosterzele,HYPER_EQUIPPED,3,455000,False,True,16,False,,JUST_RENOVATED,True,77,False,217,147,217,
96,3,HOUSE,HOUSE,HARELBEKE,INSTALLED,2,229000,,True,14,False,,JUST_RENOVATED,,,,197,121,197,
93,2,APARTMENT,APARTMENT,WAREGEM,INSTALLED,,345000,,True,25,False,,GOOD,,,,,172,,
98,4,HOUSE,HOUSE,Uccle,INSTALLED,2,595000,False,True,15,False,,GOOD,True,30,False,110,171,110,
99,0,HOUSE,APARTMENT_BLOCK,WAVRE,SEMI_EQUIPPED,2,180000,True,True,6,True,1,JUST_RENOVATED,True,6,False,100,78,100,
100,5,HOUSE,APARTMENT_BLOCK,Schaerbeek,SEMI_EQUIPPED,2,375000,False,True,10,False,,TO_BE_DONE_UP,True,30,False,100,200,100,
101,5,HOUSE,HOUSE,Schaerbeek,SEMI_EQUIPPED,2,375000,False,True,10,False,,TO_BE_DONE_UP,True,30,False,100,200,100,
102,1,APARTMENT,APARTMENT,Westende,SEMI_EQUIPPED,2,169000,,,,False,,GOOD,,,,,65,,
103,2,APARTMENT,APARTMENT,Deinze,SEMI_EQUIPPED,,215000,False,True,,False,,TO_RENOVATE,,,,,99,,
104,1,APARTMENT,APARTMENT,Hoboken,INSTALLED,2,219900,,True,6,False,,JUST_RENOVATED,,,,,67,,
105,2,APARTMENT,APARTMENT,Rumst,INSTALLED,,249500,,True,37,False,,GOOD,,,,,115,,
106,2,APARTMENT,APARTMENT,Aalst (9300),INSTALLED,,269000,,True,5,False,,GOOD,,,,,91,,
108,2,APARTMENT,APARTMENT,Gent,,,340000,False,True,,False,,GOOD,,,,,72,,
109,2,APARTMENT,APARTMENT,Oostende,INSTALLED,,359000,,True,,False,,JUST_RENOVATED,,,,,89,,
107,2,APARTMENT,APARTMENT,Erembodegem,INSTALLED,,269000,,True,5,False,,GOOD,,,,,91,,
110,2,APARTMENT,APARTMENT,Knokke,HYPER_EQUIPPED,,699000,True,True,7,False,,GOOD,,,,,102,,
111,3,APARTMENT,APARTMENT,Knokke-Zoute,HYPER_EQUIPPED,2,3850000,False,True,,False,,GOOD,,,,,182,,
112,3,HOUSE,HOUSE,Ronse,,,315000,,True,20,False,,GOOD,True,320,,393,195,393,
113,4,HOUSE,HOUSE,Duffel,,2,345000,False,True,10,False,,GOOD,,,,175,160,175,
114,5,HOUSE,HOUSE,Antwerpen,NOT_INSTALLED,2,369000,,True,9,False,,GOOD,True,27,,100,228,100,
116,4,HOUSE,HOUSE,OETINGEN,INSTALLED,3,560000,,True,40,False,,GOOD,True,32,,3270,350,3270,
115,4,HOUSE,MIXED_USE_BUILDING,OETINGEN,INSTALLED,3,560000,,True,40,False,,GOOD,True,32,,3270,350,3270,
118,1,APARTMENT,APARTMENT,Sint-Pieters-Leeuw,SEMI_EQUIPPED,,215000,False,,,False,,JUST_RENOVATED,,,,,62,,
117,2,APARTMENT,PENTHOUSE,Evere,HYPER_EQUIPPED,2,385000,False,True,10,False,,AS_NEW,,,False,,95,,NewlyBuilt
119,2,APARTMENT,APARTMENT,EVERGEM,INSTALLED,2,275000,,True,17,False,,GOOD,,,,,83,,
120,3,APARTMENT,APARTMENT,Blankenberge,INSTALLED,2,197000,True,,,False,,GOOD,,,False,,98,,
121,1,APARTMENT,FLAT_STUDIO,Duinbergen,,,249000,,,,False,,AS_NEW,,,,,30,,
123,1,APARTMENT,DUPLEX,Saint-Gilles,INSTALLED,2,525000,False,True,,False,,GOOD,,,False,,164,,
122,2,APARTMENT,APARTMENT,BRAKEL,INSTALLED,2,254000,,,,False,,JUST_RENOVATED,,,,,135,,
125,2,APARTMENT,APARTMENT,Knokke-Heist,HYPER_EQUIPPED,2,590000,False,True,4,False,,GOOD,,,False,,80,,
124,3,APARTMENT,APARTMENT,Gent,,,559000,False,True,12,False,,GOOD,,,,,135,,
126,3,APARTMENT,PENTHOUSE,LEUVEN,HYPER_EQUIPPED,3,625000,,True,,False,,,,,,,136,,
127,2,APARTMENT,PENTHOUSE,Brussels,HYPER_EQUIPPED,2,675000,True,True,77,False,,AS_NEW,,,False,,140,,
131,3,HOUSE,HOUSE,Ronse,,,269000,,,,False,,GOOD,True,700,,785,195,785,
128,2,HOUSE,HOUSE,Gavere Semmerzake,HYPER_EQUIPPED,4,575000,False,True,75,False,,GOOD,True,480,False,1227,375,1227,
130,2,HOUSE,HOUSE,Erpe-Mere,HYPER_EQUIPPED,4,259000,,True,,False,,TO_BE_DONE_UP,,,False,360,177,360,
